Code	Central Value of the range	Central Value of the range	Positive Or Negative Consumption
156	"2,14143269002984%"	2.14143269	
157	"2,22708999763104%"	2.227089998	
158	"2,31617359753628%"	2.316173598	
159	"2,40882054143773%"	2.408820541	
160	"2,50517336309524%"	2.505173363	
161	"2,60538029761905%"	2.605380298	
162	"2,70959550952381%"	2.70959551	
163	"2,81797932990476%"	2.81797933	
164	"2,93069850310096%"	2.930698503	
165	"3,04792644322499%"	3.047926443	
166	"3,16984350095399%"	3.169843501	
167	"3,29663724099215%"	3.296637241	
168	"3,42850273063184%"	3.428502731	
169	"3,56564283985711%"	3.56564284	
170	"3,7082685534514%"	3.708268553	
171	"3,85659929558946%"	3.856599296	
172	"4,01086326741303%"	4.010863267	
173	"4,17129779810955%"	4.171297798	
174	"4,33814971003394%"	4.33814971	
175	"4,51167569843529%"	4.511675698	
176	"4,6921427263727%"	4.692142726	
177	"4,87982843542761%"	4.879828435	
178	"5,07502157284472%"	5.075021573	
179	"5,2780224357585%"	5.278022436	
180	"5,48914333318884%"	5.489143333	
181	"5,7087090665164%"	5.708709067	
182	"5,93705742917706%"	5.937057429	
183	"6,17453972634414%"	6.174539726	
184	"6,42152131539791%"	6.421521315	
185	"6,67838216801383%"	6.678382168	
186	"6,94551745473438%"	6.945517455	
187	"7,22333815292375%"	7.223338153	
188	"7,5122716790407%"	7.512271679	
189	"7,81276254620233%"	7.812762546	
190	"8,12527304805042%"	8.125273048	
191	"8,45028396997244%"	8.45028397	
192	"8,78829532877134%"	8.788295329	
193	"9,1398271419222%"	9.139827142	
194	"9,50542022759908%"	9.505420228	
195	"9,88563703670307%"	9.885637037	
196	"10,2810625181712%"	10.28106252	
197	"10,692305018898%"	10.69230502	
198	"11,1199972196539%"	11.11999722	
199	"11,5647971084401%"	11.56479711	
200	"12,0273889927777%"	12.02738899	
201	"12,5084845524888%"	12.50848455	
202	"13,0088239345883%"	13.00882393	
203	"13,5291768919719%"	13.52917689	
204	"14,0703439676508%"	14.07034397	
205	"14,6331577263568%"	14.63315773	
206	"15,218484035411%"	15.21848404	
207	"15,8272233968275%"	15.8272234	
208	"16,4603123327006%"	16.46031233	
209	"17,1187248260087%"	17.11872483	
210	"17,803473819049%"	17.80347382	
211	"18,515612771811%"	18.51561277	
212	"19,2562372826834%"	19.25623728	
213	"20,0264867739907%"	20.02648677	
214	"20,8275462449503%"	20.82754624	
215	"21,6606480947484%"	21.66064809	
216	"22,5270740185383%"	22.52707402	
217	"23,4281569792798%"	23.42815698	
218	"24,365283258451%"	24.36528326	
219	"25,3398945887891%"	25.33989459	
220	"26,3534903723406%"	26.35349037	
221	"27,4076299872343%"	27.40762999	
222	"28,5039351867237%"	28.50393519	
223	"29,6440925941926%"	29.64409259	
224	"30,8298562979603%"	30.8298563	
225	"32,0630505498787%"	32.06305055	
226	"33,3455725718738%"	33.34557257	
227	"34,6793954747488%"	34.67939547	
228	"36,0665712937387%"	36.06657129	
229	"37,5092341454883%"	37.50923415	
230	"39,0096035113079%"	39.00960351	
231	"40,5699876517602%"	40.56998765	
232	"42,1927871578306%"	42.19278716	
233	"43,8804986441438%"	43.88049864	
234	"45,6357185899096%"	45.63571859	
235	"47,4611473335059%"	47.46114733	
236	"49,1958790327677%"	49.19587903	
237	>50%	50	
238	"--0,25%"	-0.25	Negative
239	"--0,75%"	-0.75	
240	"--1,5%"	-1.5	
241	"--2,5%"	-2.5	
242	"--3,5%"	-3.5	
243	"--4,5%"	-4.5	
244	"--5,5%"	-5.5	
245	"--7,5%"	-7.5	
246	"--10,5%"	-10.5	
247	"--13,5%"	-13.5	
248	"--17,5%"	-17.5	
249	"--22,5%"	-22.5	
250	"--27,5%"	-27.5	
251	"--32,5%"	-32.5	
252	"--37,5%"	-37.5	
253	"--42,5%"	-42.5	
254	"--47,5%"	-47.5	
255	>--50%	-50	
